question,variant,answer,sources
"Evdeki modeme bağlı çalışanlar var, canım; onların Wi-Fi’yi nasıl yapılandırması gerekir?",B) Base model + RAG,"Bu kaynaklar, evdeki modeme bağlı çalışanlar için Wi-Fi yapılandırması hakkında spesifik bir bilgi sunmuyor. 

**Kaynaklar, ağ cihazları yönetimi ve güvenlik politikalarını kapsar, ancak bu politikalar, ağ cihazlarının güvenli yapılandırılması ve yönetimi için genel yönergeler ve prosedürler sunar.** 

Bu nedenle, evdeki modeme bağlı çalışanların Wi-Fi'yi nasıl yapılandırması gerektiği konusunda kaynaklar hakkında bilgi bulunmuyor.","https://hightable.io/iso-27001-annex-a-controls-list/, https://www.sans.org/information-security-policy/acceptable-use-standard/, https://www.sans.org/information-security-policy/network-device-management-policy/"
"Evdeki modeme bağlı çalışanlar var, canım; onların Wi-Fi’yi nasıl yapılandırması gerekir?",C) Fine-tuned model (no RAG),"Kurumsal ağ üzerinden VPN kullanılmalı, hassas veriler yalnızca şifrelenmiş ağ üzerinden taşınmalıdır. İzinsiz erişim engellenmeli, kimlik doğrulama yapılandırılmalı ve güncel güvenlik güncellemeleri yüklenmelidir.",—
"Evdeki modeme bağlı çalışanlar var, canım; onların Wi-Fi’yi nasıl yapılandırması gerekir?",D) Fine-tuned model + RAG,"Bu politika, uzaktan çalışanların ağ cihazlarının güvenli yapılandırılabilmesi için gerekli güvenlik önlemlerini belirtir.","https://hightable.io/iso-27001-annex-a-controls-list/, https://www.sans.org/information-security-policy/acceptable-use-standard/, https://www.sans.org/information-security-policy/network-device-management-policy/"
"Canım asistanım, kediler strese girince neden tırmalıyor?",A) Base model (no RAG),"Kediler tırmalama davranışını, stresle ilişkili olarak, çeşitli sebeplerle ortaya çıkarabilir. İşte bazı olası nedenler:

**1. Stresli Durum:** 
* **Yeni Bir Durum:** Kediler, yeni bir ortamda veya yeni bir insanla karşılaştığında, yeni bir tehdit algılar ve bu durum onları stresli hale getirebilir. 
* **Güvenlik Sorunları:** Kediler, güvenlik endişesiyle karşılaştığında tırmalama davranışını sergileyebilir. Örneğin, bir köpeğin yaklaşması, bir pencere veya kapıdan içeri girmesi gibi durumlar.
* **Sosyal Stres:** Kediler, sosyal olarak stresli bir ortamda, diğer kedilerle veya insanlarla çatışma veya agresif davranışlar sergileyebilir. 

**2. Fiziksel Stres:**
* **Fiziksel Rahatsızlık:**  Kediler, ağrı, yorgunluk, hastalık veya alerji gibi fiziksel rahatsızlıklar nedeniyle tırmalama davranışını gösterebilir. 
* **İhtiyaçlar:** Kediler, yetersiz beslenme, su veya uyku gibi ihtiyaçları karşılanamaması durumunda tırmalama davranışını gösterebilir.

**3. Psikolojik Stres:**
* **Güvenlik Sorunları:** Kediler, güvenlik endişesiyle karşılaştığında tırmalama davranışını sergileyebilir. Örneğin, bir köpeğin yaklaşması, bir pencere veya kapıdan içeri girmesi gibi durumlar.
* **Sosyal Stres:** Kediler, sosyal olarak stresli bir ortamda, diğer kedilerle veya insanlarla çatışma veya agresif davranışlar sergileyebilir. 
* **Korku:** Kediler, korku veya endişe",—
"Canım asistanım, kediler strese girince neden tırmalıyor?",B) Base model + RAG,"Bu soruyu yanıtlamak için kaynaklar yetersiz. 

Kaynaklar, güvenlik politikaları ve yapay zeka standartları hakkında bilgi içermektedir.","https://hightable.io/iso-27001-annex-a-controls-list/, https://www.sans.org/information-security-policy/artificial-intelligence-standard/, https://www.sans.org/information-security-policy/database-credentials-standard/"
"Canım asistanım, kediler strese girince neden tırmalıyor?",C) Fine-tuned model (no RAG),"Asistan, çalışanların dikkatini dağıtıyor, dikkat dağıtıcı unsurları fark ettirmeye çalışıyor. Bu durum güvenlik açısından olumsuz sonuçlar doğurabilir.",—
"Canım asistanım, kediler strese girince neden tırmalıyor?",D) Fine-tuned model + RAG,"Bu politika, veri güvenliği için gerekli güvenlik önlemlerini açıkça belirtir.","https://hightable.io/iso-27001-annex-a-controls-list/, https://www.sans.org/information-security-policy/artificial-intelligence-standard/, https://www.sans.org/information-security-policy/database-credentials-standard/"
"Hocam, bu yıl sonu dolar kaç TL olur sence?",A) Base model (no RAG),"Üzgünüm ama bu soruyu yanıtlayamam.  Doların TL'ye ne kadar olacağını tahmin etmek benim için mümkün değil. 

**Neden?**

* **Finansal piyasalar çok karmaşık:** Dolar ve TL'nin değerini etkileyen birçok faktör vardır. Bu faktörler arasında ekonomik durum, politik gelişmeler, enflasyon, yatırım ve piyasa hareketleri bulunur. 
* **Gelecek tahminleri zor:**  Bu faktörlerin ne olacağı kesin olarak bilinmez. 
* **Ben bir AI asistanım:**  Ben sadece bilgiyi analiz edip sunabilirim, ancak geleceği tahmin etmek için yetkim yok. 

Dolar ve TL'nin değerini öğrenmek için finansal haber kaynaklarını takip etmenizi öneririm.",—
"Hocam, bu yıl sonu dolar kaç TL olur sence?",B) Base model + RAG,Bu soruyu yanıtlamak için kaynaklar yetersiz.,"https://hightable.io/iso-27001-annex-a-controls-list/, https://www.sans.org/information-security-policy/acceptable-encryption-standard/, https://www.sans.org/information-security-policy/artificial-intelligence-standard/, https://www.sans.org/information-security-policy/database-credentials-standard/"
"Hocam, bu yıl sonu dolar kaç TL olur sence?",C) Fine-tuned model (no RAG),"Bu tür tahminler çok değişkenlidir. Hangi kurumlar ne yapar, enflasyon nasıl ilerler, para politikaları ne olur; bu faktörler döviz piyasasında büyük etkiye sahiptir. Bu nedenle kesin bir tahmin yapmak mümkün değildir.",—
"Hocam, bu yıl sonu dolar kaç TL olur sence?",D) Fine-tuned model + RAG,Bu sorunun yanıtlanması için kaynaklara dayanmam gerekir.,"https://hightable.io/iso-27001-annex-a-controls-list/, https://www.sans.org/information-security-policy/acceptable-encryption-standard/, https://www.sans.org/information-security-policy/artificial-intelligence-standard/, https://www.sans.org/information-security-policy/database-credentials-standard/"
Ya sana bir şey sorcam; Türkiye’de en iyi tatlı hangisi?,A) Base model (no RAG),"Bu soruya cevap vermek zor! Çünkü ""en iyi"" tamamen kişisel bir tercihtir. Herkesin zevki farklıdır ve farklı tatlılar farklı kültürlere ve kişilere hitap eder. 

Türkiye'de birçok lezzetli tatlı var ve her biri kendine has bir hikayesi ve lezzeti var. Örneğin:

* **Baklava:** Klasik bir Türk tatlısı, nar, badem, pistacık gibi malzemelerle yapılan ve lezzetiyle bilinen bir lezzet.
* **Lokum:**  Çikolata, şeker ve çeşitli malzemelerle yapılan, farklı şekillerde ve lezzetlerde bulunan bir tatlı.
* **Kunefe:**  Bir çeşit börek, kremalı ve şekerli bir tatlı.
* **Şekerpare:**  Çikolata, krema ve şekerle yapılan, yumuşak ve lezzetli bir tatlı.
* **Kırkın:**  Çikolata ve şekerle yapılan, yumuşak ve lezzetli bir tatlı.

Bu sadece birkaç örnek, Türkiye'de birçok farklı tatlı var. En iyi tatlıyı bulmak için kendi zevkinize ve tercihlerinize göre deneyin! 

Bu soruyu cevaplamak için daha fazla bilgiye ihtiyacım var. Örneğin, hangi tür tatlıyı seviyorsunuz? Hangi malzemeleri tercih ediyorsunuz?",—
Ya sana bir şey sorcam; Türkiye’de en iyi tatlı hangisi?,B) Base model + RAG,"Bu sorunun cevabı, ISO 27001 ve SANS standartları ile ilgili değildir. Bu kaynaklar, bilgi güvenliği politikalarını ve işletmelerin güvenlik politikalarını ele almaktadır. 

Sorunun cevabı, kişisel tercihler ve kültürel değerlere bağlıdır.","https://hightable.io/iso-27001-annex-a-controls-list/, https://www.sans.org/information-security-policy/acceptable-use-standard/"
Ya sana bir şey sorcam; Türkiye’de en iyi tatlı hangisi?,C) Fine-tuned model (no RAG),"Bu sorunun cevabı kişisel tercihin doğrudur. Ancak genel olarak tatlı seçimlerinde; lokum, peynirli, kuru yemiş, çikolata ve kuru fındık gibi seçenekler tercih edilir.",—
Ya sana bir şey sorcam; Türkiye’de en iyi tatlı hangisi?,D) Fine-tuned model + RAG,Bu sorunun yanıtlanması için kaynaklara bakılmamıştır.,"https://hightable.io/iso-27001-annex-a-controls-list/, https://www.sans.org/information-security-policy/acceptable-use-standard/"
